"","p1","c1","c2","c3","c4","c5","c6"
"348","ID_40","ID_24","ID_165","ID_109","ID_131","ID_142","ID_17"
"349","ID_34","ID_67","ID_6","ID_122","ID_37","ID_20","ID_41"
"350","ID_94","ID_44","ID_69","ID_76","ID_149","ID_70","ID_142"
"351","ID_30","ID_49","ID_31","ID_119","ID_9","ID_154","ID_97"
"352","ID_29","ID_126","ID_135","ID_165","ID_174","ID_173","ID_21"
"353","ID_38","ID_9","ID_30","ID_154","ID_111","ID_89","ID_163"
"354","ID_36","ID_35","ID_57","ID_34","ID_200","ID_95","ID_160"
"355","ID_33","ID_41","ID_37","ID_20","ID_92","ID_99","ID_95"
"356","ID_44","ID_57","ID_167","ID_37","ID_20","ID_99","ID_164"
"357","ID_43","ID_122","ID_118","ID_67","ID_159","ID_39","ID_115"
"358","ID_35","ID_36","ID_90","ID_88","ID_95","ID_21","ID_45"
"359","ID_41","ID_111","ID_20","ID_6","ID_37","ID_33","ID_43"
"360","ID_37","ID_41","ID_111","ID_92","ID_6","ID_20","ID_167"
"361","ID_96","ID_10","ID_104","ID_92","ID_63","ID_44","ID_32"
"362","ID_24","ID_40","ID_172","ID_55","ID_162","ID_160","ID_64"
"363","ID_26","ID_124","ID_76","ID_52","ID_61","ID_193","ID_131"
"364","ID_97","ID_61","0_ID_NA","ID_181","ID_93","ID_30","ID_26"
"365","ID_31","ID_154","ID_158","ID_9","ID_61","ID_97","0_ID_NA"
"366","ID_39","ID_86","ID_95","ID_159","ID_71","ID_149","ID_54"
"367","ID_28","ID_195","ID_144","ID_175","ID_182","ID_133","ID_31"
"368","ID_95","ID_39","ID_36","ID_159","ID_43","ID_51","ID_155"
